IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0003_00206,Futures Talk 1.0,,"Duderstadt, James J.",,2015,1988-08-13,,jjd873.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00207,General Talk,,"Duderstadt, James J.",,2015,1988-09-22,,jjd874.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00208,General Talk-Rose Bowl,,"Duderstadt, James J.",,2015,1988-09-22,,jjd875.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00209,Grad Welcome 2.0,,"Duderstadt, James J.",,2015,1988-08-14,,jjd876.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00210,"HBCU Remarks, 1",,"Duderstadt, James J.",,2015,1988-10-01,,jjd877.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00211,"HBCU Remarks, 1",,"Duderstadt, James J.",,2015,1988-10-01,,jjd878.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00212,"HBCU Remarks, 1",,"Duderstadt, James J.",,2015,1988-10-01,,jjd880.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00213,IFS Reception,,"Duderstadt, James J.",,2015,1988-08-30,,jjd881.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00214,IFS Reception,,"Duderstadt, James J.",,2015,1988-08-30,,jjd882.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00215,"Inaug Breakfast, 1",,"Duderstadt, James J.",,2015,1988-10-05,,jjd883.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
