ORIGINAL,uri
"Coudert, Frederic R. (Frederic RenÃ©), 1871-",/agents/people/9294
"Coudert, Frederic R. (Frederic René), 1871-",/agents/people/9295
"Davis, Calvin Olin, 1871-",/agents/people/9296
"Durand, Edward Dana, b. 1871.",/agents/people/9297
"Reid, Neil E., 1871-",/agents/people/9298
"Shurly, Burt Russell, 1871-",/agents/people/9299
"Gansser, Augustus H., 1872-",/agents/people/9300
"Lovett, William Pierce, 1872-",/agents/people/9301
"Reeves, Jesse Siddall,1872-",/agents/people/9302
"Sadler, Herbert Charles, 1872-",/agents/people/9303
"Sellery, George C. (George Clarke), 1872-",/agents/people/9304
"Carr, Harvey, 1873-",/agents/people/9305
"Dawson, Percy M. (Percy Millard), 1873-",/agents/people/9306
"Farrell, Charles H., 1873-",/agents/people/9307
"Marston, George A., 1873-",/agents/people/9308
"Reeves, Alfred L., 1873-",/agents/people/9309
"Seaton, John Lawrence, 1873-",/agents/people/9310
"Tausend, Albert William, 1873-",/agents/people/9311
"Vandercook, Roy C., 1873-",/agents/people/9312
"Watkins, Lucius Whitney, 1873-",/agents/people/9313
"White, Alfred H. (Alfred Holmes), 1873-",/agents/people/9314
"White, Charles, b. 1873.",/agents/people/9315
"Andrews, Roger, 1874-",/agents/people/9316
"Cady, Burt D., 1874-",/agents/people/9317
"Mitchell, William D. (William De Witt), b. 1874.",/agents/people/9318
"Newhall, R. Frank, 1874-",/agents/people/9319
"Richardson, Hilary Goode, 1874-",/agents/people/9320
"Sunderland, Edson R. (Edson Read), b. 1874.",/agents/people/9321
"Wykes, Roger Irving, 1874-",/agents/people/9322
"Zeigen, Frederic H., 1874-",/agents/people/9323
"Wade, Raymond J., Bishop, 1875-",/agents/people/9324
"Cramton, Louis C. (Louis Convers), b. 1875.",/agents/people/9325
"Gillette, Fredericka Botsford, 1875-",/agents/people/9326
"Gingerich, Solomon Francis, 1875-",/agents/people/9327
"Haynes, Harley Armand, 1875-",/agents/people/9328
"Huene, Friederich R. Freiherr von, b. 1875.",/agents/people/9329
"Jerome, James D., 1875-",/agents/people/9330
"Kraus, Edward Henry, 1875-",/agents/people/9331
"Miller, Guy Alonzo, 1875-",/agents/people/9332
"Ray, P. Orman (Perley Orman), b. 1875.",/agents/people/9333
"Wiley, Merlin, 1875-",/agents/people/9334
"Bonner, Campbell, b. 1876.",/agents/people/9335
"Glaspie, Andrew Bird, 1876-",/agents/people/9336
"Hale, William J. (William Jay), b. 1876.",/agents/people/9337
"Hankinson, Thomas L. (Thomas Leroy), 1876-",/agents/people/9338
"Marsh, Pliny W., 1876-",/agents/people/9339
"Phillips, James Duncan, b. 1876.",/agents/people/9340
"Spill, William Ambrose, 1876-",/agents/people/9341
"Campbell, Colin Percy, 1877-",/agents/people/9342
"Dudley, Adolphus Mansfield, 1877-",/agents/people/9343
"Haynes, Royal Storrs, 1877-",/agents/people/9344
"Kirk, Richard Ray, 1877-",/agents/people/9345
"Sparks, Frank Melville, 1877-",/agents/people/9346
"Walter, Robert E., b. 1877.",/agents/people/9347
"Bradshaw, John William, 1878-",/agents/people/9348
"Hollister, Richard Dennis Teall, 1878-",/agents/people/9349
"Kline, George Milton, 1878-",/agents/people/9350
"Lennon, Peter B., 1878-",/agents/people/9351
"Marquardt, Walter W. (Walter William), 1878-",/agents/people/9352
"Palmer, Milton R., 1878-",/agents/people/9353
"Rea, Paul Marshall, 1878-",/agents/people/9354
"Schoening, Robert W., b. 1878.",/agents/people/9355
"Trevor, John Bond, 1878-",/agents/people/9356
"Weech, William Nassau, 1878-",/agents/people/9357
"Brownlow, Louis, b. 1879.",/agents/people/9358
"Chambers, David Laurance, b. 1879.",/agents/people/9359
"Coffey, Wilford L., 1879-",/agents/people/9360
