Type,Publish,Authority ID,Source,Rules,ORIGINAL,Prefix,Family Name,Dates,Qualifier
famname,TRUE,http://id.loc.gov/authorities/names/n85129645,lcnaf,,Spalding family.,,Spalding,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n83163731,lcnaf,,Staebler family.,,Staebler,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n81074669,lcnaf,,Starr family.,,Starr,,Family
famname,TRUE,,lcnaf,,Van Aken family.,,Van Aken,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n85250563,lcnaf,,McCalmont family.,,McCalmont,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n80020716,lcnaf,,Sundwall family.,,Sundwall,,Family
famname,TRUE,,lcnaf,,Tanner family.,,Tanner,,Family
famname,TRUE,,lcnaf,,Schleicher family.,,Schleicher,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n82020424,lcnaf,,Thomas family.,,Thomas,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n85023871,lcnaf,,Todd family.,,Todd,,Family
famname,TRUE,,lcnaf,,Travis family.,,Travis,,Family
famname,TRUE,,lcnaf,,Van Zoeren family.,,Van Zoeren,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n78087581,lcnaf,,Vivian family.,,Vivian,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79043367,lcnaf,,Ward family.,,Ward,,Family
famname,TRUE,,lcnaf,,Woodruff family.,,Woodruff,,Family
famname,TRUE,,lcnaf,,Weil family.,,Weil,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no98121869,lcnaf,,Wells family.,,Wells,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79129619,lcnaf,,Wenley family.,,Wenley,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79021846,lcnaf,,Whitmore family.,,Whitmore,,Family
famname,TRUE,http://id.loc.gov/authorities/names/nr89016998,lcnaf,,Whitmore family.,,Whitmore,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79081473,lcnaf,,Winchell family.,,Winchell,,Family
famname,TRUE,,lcnaf,,Ziegler family.,,Ziegler,,Family
