old,new
"Douglas, Paul H. (Paul Howard), 1892-1976","Douglas, Paul H. (Paul Howard), 1892-1976"
"Fleming, R. W. (Robben Wright), 1916-2010","Fleming, R. W. (Robben Wright), 1916-2010"
"Pollock, James K. (James Kerr), 1898-1968","Pollock, James K. (James Kerr), 1898-1968"
"Rogers, J. Speed (James Speed), 1892-1955","Rogers, J. Speed (James Speed), 1892-1955"
"Sawyer, Ralph A. (Ralph Alanson), 1895-1978","Sawyer, Ralph A. (Ralph Alanson), 1895-1978"
"Wilgus, A. Curtis (Alva Curtis), 1897-1981","Wilgus, A. Curtis (Alva Curtis), 1897-1981"
"Beal, Junius E. (Junius Emery), 1860-1942","Beal, Junius E. (Junius Emery), 1860-1942"
"Beal, Junius E. (Junius Emery), 1860-1942","Beal, Junius E. (Junius Emery), 1860-1942"
"Taft, William H. (William Howard), 1857-1930","Taft, William H. (William Howard), 1857-1930"
"Beal, Junius E. (Junius Emery), 1860-1942","Beal, Junius E. (Junius Emery), 1860-1942"
"Abbot, Willis J. (Willis John), 1863-1934","Abbot, Willis J. (Willis John), 1863-1934"
"Alger, R. A. (Russell Alexander), 1836-1907","Alger, R. A. (Russell Alexander), 1836-1907"
"Burrows, Julius C. (Julius Caesar), 1837-1915","Burrows, Julius C. (Julius Caesar), 1837-1915"
"Chase, A. W. (Alvin Wood), 1817-1885","Chase, A. W. (Alvin Wood), 1817-1885"
"Clements, William L. (William Lawrence), 1861-1934","Clements, William L. (William Lawrence), 1861-1934"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Copeland, Royal S. (Royal Samuel), 1868-1938","Copeland, Royal S. (Royal Samuel), 1868-1938"
"Cramton, Louis C. (Louis Convers), b. 1875","Cramton, Louis C. (Louis Convers), b. 1875"
"Fairlie, John A. (John Archibald), 1872-1947","Fairlie, John A. (John Archibald), 1872-1947"
"Fordney, Joseph W. (Joseph Warren), 1853-1932","Fordney, Joseph W. (Joseph Warren), 1853-1932"
"Guest, Edgar A. (Edgar Albert), 1881-1959","Guest, Edgar A. (Edgar Albert), 1881-1959"
"Hinsdale, W. B. (Wilbert B.), 1851-1944","Hinsdale, W. B. (Wilbert B.), 1851-1944"
"Hubbard, Lucius L. (Lucius Lee), 1849-1933","Hubbard, Lucius L. (Lucius Lee), 1849-1933"
"Hutchins, Harry B. (Harry Burns), 1847-1930","Hutchins, Harry B. (Harry Burns), 1847-1930"
