"2015-11-25T13:52:50; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd572.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd572_bhl-639bf54c.pdf""; Ghostscript 9.15; "
"2015-11-25T13:52:55; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd574.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd574_bhl-5936fedd.pdf""; Ghostscript 9.15; "
"2015-11-25T13:53:04; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd575.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd575_bhl-fb2efe41.pdf""; Ghostscript 9.15; "
"2015-11-25T13:53:15; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd576.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd576_bhl-b351088f.pdf""; Ghostscript 9.15; "
"2015-11-25T13:53:31; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd577.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd577_bhl-8d8e7a9d.pdf""; Ghostscript 9.15; "
"2015-11-25T13:53:42; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd578.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd578_bhl-ebc94a6a.pdf""; Ghostscript 9.15; "
"2015-11-25T13:53:49; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd579.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd579_bhl-3b3d0855.pdf""; Ghostscript 9.15; "
"2015-11-25T13:53:59; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd580.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd580_bhl-6748f528.pdf""; Ghostscript 9.15; "
"2015-11-25T13:54:08; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd581.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd581_bhl-402d4405.pdf""; Ghostscript 9.15; "
"2015-11-25T13:54:22; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd582.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd582_bhl-a5f58206.pdf""; Ghostscript 9.15; "
"2015-11-25T13:54:36; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd583.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd583_bhl-f1d833fe.pdf""; Ghostscript 9.15; "
"2015-11-25T13:54:42; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd584.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd584_bhl-3389c4da.pdf""; Ghostscript 9.15; "
"2015-11-25T13:54:50; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd585.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd585_bhl-ca970b19.pdf""; Ghostscript 9.15; "
"2015-11-25T13:54:55; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd588.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd588_bhl-3fb77815.pdf""; Ghostscript 9.15; "
"2015-11-25T13:54:59; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd590.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd590_bhl-d2da1823.pdf""; Ghostscript 9.15; "
"2015-11-25T13:55:03; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\JJD591.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\JJD591_bhl-e2312c59.pdf""; Ghostscript 9.15; "
"2015-11-25T13:55:09; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd592.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd592_bhl-4c7db8c6.pdf""; Ghostscript 9.15; "
"2015-11-25T13:55:16; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd593.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd593_bhl-d8eeb92a.pdf""; Ghostscript 9.15; "
"2015-11-25T13:55:27; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd594.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd594_bhl-67ec9608.pdf""; Ghostscript 9.15; "
"2015-11-25T13:55:42; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd595.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd595_bhl-e060df51.pdf""; Ghostscript 9.15; "
"2015-11-25T13:55:55; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd596.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd596_bhl-2e7cd3ca.pdf""; Ghostscript 9.15; "
"2015-11-25T14:04:53; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS4a\jjd1045.pdf""; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS4a\jjd1045_bhl-b165834b.pdf""; Ghostscript 9.15; "
"2015-11-25T14:12:26; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5b\jjd1231.pdf""; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5b\jjd1231_bhl-deef7d29.pdf""; Ghostscript 9.15; "
"2015-11-25T14:15:20; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1224.pdf""; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1224_bhl-dce86ddd.pdf""; Ghostscript 9.15; "
"2015-11-25T14:15:25; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1225.pdf""; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1225_bhl-fffe23a6.pdf""; Ghostscript 9.15; "
"2015-11-25T14:15:32; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1227.pdf""; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1227_bhl-7d83bd1a.pdf""; Ghostscript 9.15; "
"2015-11-25T14:15:35; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1232.pdf""; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1232_bhl-36b24ec5.pdf""; Ghostscript 9.15; "
"2015-11-25T14:15:40; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1241.pdf""; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\jjd1241_bhl-09d117e8.pdf""; Ghostscript 9.15; "
