dates	handle	title	authors	publisher	dateAdded	bitCount
2006/04-2015/10	2027.42/88696	Financing the Public University in the New Millennium 2.0 	Duderstadt, James J. 		2011-12-23T16:46:41Z 	1
2006/04-2015/10	2027.42/57293	Fire, Ready, Aim! University Decision-Making During an Era of Rapid Change 	Duderstadt, James J. 	Economica 	2007-11-20T22:23:49Z 	1
2006/04-2015/10	2027.42/88697	First guns, then pills--next big research investment will be in brainpowers, says U-M professors 	Duderstadt, James J. 		2011-12-23T16:46:42Z 	1
2006/04-2015/10	2027.42/88699	Fixing the Fragmented University: A View from the Bridge 	Duderstadt, James J. 		2011-12-23T16:46:45Z 	1
2006/04-2015/10	2027.42/88700	Fixing the Fragmented University: A View from the Bridge 	Duderstadt, James J. 		2011-12-23T16:46:46Z 	1
2006/04-2015/10	2027.42/88701	Flat Panel Display 	Duderstadt, James J. 		2011-12-23T16:46:48Z 	1
2006/04-2015/10	2027.42/88702	Flint Rotary 	Duderstadt, James J. 		2011-12-23T16:46:50Z 	1
2006/04-2015/10	2027.42/88703	Flint Rotary 1994 	Duderstadt, James J. 		2011-12-23T16:46:53Z 	1
2006/04-2015/10	2027.42/88704	Flint Roundtable 	Duderstadt, James J. 		2011-12-23T16:46:55Z 	1
2006/04-2015/10	2027.42/88705	Flint Roundtable June 23 	Duderstadt, James J. 		2011-12-23T16:46:58Z 	1
2006/04-2015/10	2027.42/88706	Flower Show Opening 	Duderstadt, James J. 		2011-12-23T16:46:59Z 	1
2006/04-2015/10	2027.42/88707	Football Building Kickoff 2 	Duderstadt, James J. 		2011-12-23T16:47:01Z 	1
2006/04-2015/10	2027.42/88708	Football Bust 	Duderstadt, James J. 		2011-12-23T16:47:02Z 	1
2006/04-2015/10	2027.42/88710	Football Bust 	Duderstadt, James J. 		2011-12-23T16:47:05Z 	1
2006/04-2015/10	2027.42/88711	Football Bust 2.0 	Duderstadt, James J. 		2011-12-23T16:47:07Z 	1
2006/04-2015/10	2027.42/88712	Football Bust- Add ins 	Duderstadt, James J. 		2011-12-23T16:47:08Z 	1
2006/04-2015/10	2027.42/88713	Football Bust-88 	Duderstadt, James J. 		2011-12-23T16:47:10Z 	1
2006/04-2015/10	2027.42/88714	Football Training Table 	Duderstadt, James J. 		2011-12-23T16:47:11Z 	1
2006/04-2015/10	2027.42/114392	For the Love of Michigan 	Duderstadt, Anne ; Duderstadt, James J. 		2015-10-15T12:21:20Z 	1
2006/04-2015/10	2027.42/88715	Ford Oral 	Duderstadt, James J. 		2011-12-23T16:47:12Z 	1
2006/04-2015/10	2027.42/88716	Ford School briefing on STPP Task Force 	Duderstadt, James J. 		2011-12-23T16:47:13Z 	1
2006/04-2015/10	2027.42/88717	Ford Testimony 	Duderstadt, James J. 		2011-12-23T16:47:15Z 	1
2006/04-2015/10	2027.42/88718	Free Press Op-Ed 	Duderstadt, James J. 		2011-12-23T16:47:16Z 	1
2006/04-2015/10	2027.42/88719	Fresh Convocation 4.3 	Duderstadt, James J. 		2011-12-23T16:47:18Z 	1
2006/04-2015/10	2027.42/88721	Freshman Convocation 	Duderstadt, James J. 		2011-12-23T16:47:21Z 	1
2006/04-2015/10	2027.42/88722	Freshman Convocation 	Duderstadt, James J. 		2011-12-23T16:47:23Z 	1
2006/04-2015/10	2027.42/88723	Freshman Convocation 3.0 	Duderstadt, James J. 		2011-12-23T16:47:25Z 	1
2006/04-2015/10	2027.42/88724	Freshman Convocation 4.3 	Duderstadt, James J. 		2011-12-23T16:47:26Z 	1
2006/04-2015/10	2027.42/88725	Freshman Parents 	Duderstadt, James J. 		2011-12-23T16:47:28Z 	1
2006/04-2015/10	2027.42/88726	Freshperson Welcome 5.1 	Duderstadt, James J. 		2011-12-23T16:47:29Z 	1
2006/04-2015/10	2027.42/88727	From Guns to Pills to Brains: Shifting Federal Research Priorities for the 21st Century 	Duderstadt, James J. 		2011-12-23T16:47:31Z 	1
2006/04-2015/10	2027.42/79565	From the Dean of the College of Engineering at University of Michigan 	College of Engineering, University of Michigan 		2011-02-04T19:06:56Z 	1
2006/04-2015/10	2027.42/88728	Fund-Raising Themes 	Duderstadt, James J. 		2011-12-23T16:47:32Z 	1
2006/04-2015/10	2027.42/88729	Future - Over the Horizon 	Duderstadt, James J. 		2011-12-23T16:47:34Z 	1
2006/04-2015/10	2027.42/88730	Future - Over the Horizon 	Duderstadt, James J. 		2011-12-23T16:47:36Z 	1
2006/04-2015/10	2027.42/88732	Futures Bibliography 	Duderstadt, James J. 		2011-12-23T16:47:39Z 	1
2006/04-2015/10	2027.42/88733	Futures Group 1.0 	Duderstadt, James J. 		2011-12-23T16:47:41Z 	1
2006/04-2015/10	2027.42/88734	Futures Notes 	Duderstadt, James J. 		2011-12-23T16:47:42Z 	1
2006/04-2015/10	2027.42/88735	Futures Talk 	Duderstadt, James J. 		2011-12-23T16:47:44Z 	1
2006/04-2015/10	2027.42/88736	Futures-Missions 	Duderstadt, James J. 		2011-12-23T16:47:45Z 	1
2006/04-2015/10	2027.42/88737	Futuring 	Duderstadt, James J. 		2011-12-23T16:47:46Z 	1
2006/04-2015/10	2027.42/88748	GM Spirit Awards 	Duderstadt, James J. 		2011-12-23T16:48:03Z 	1
2006/04-2015/10	2027.42/88739	General Talk 	Duderstadt, James J. 		2011-12-23T16:47:49Z 	1
2006/04-2015/10	2027.42/88740	General Talk-Rose Bowl 	Duderstadt, James J. 		2011-12-23T16:47:51Z 	1
2006/04-2015/10	2027.42/88741	Georgia Tech-Speech 	Duderstadt, James J. 		2011-12-23T16:47:53Z 	1
2006/04-2015/10	2027.42/88743	Gerald R. Ford Colloquium 	Duderstadt, James J. 		2011-12-23T16:47:56Z 	1
2006/04-2015/10	2027.42/88744	Global Climate Change 	Duderstadt, James J. 		2011-12-23T16:47:57Z 	1
2006/04-2015/10	2027.42/88745	Global Sustainability Glion VIII 	Duderstadt, James J. 	Economica 	2011-12-23T16:47:58Z 	1
2006/04-2015/10	2027.42/88746	Global Sustainability: Timescales, Magnitudes, Paradigms, and Black Swans 	Duderstadt, James J. 	VIII Glion Colloquium 	2011-12-23T16:47:59Z 	1
2006/04-2015/10	2027.42/88747	Globalization of the University 	Duderstadt, James J. 	Economica 	2011-12-23T16:48:02Z 	1
2006/04-2015/10	2027.42/88749	Gorman Rankings 	Duderstadt, James J. 		2011-12-23T16:48:04Z 	1
2006/04-2015/10	2027.42/88751	Governing the 21st Century University: A View from the Bridge 	Duderstadt, James J. 		2011-12-23T16:48:06Z 	1
2006/04-2015/10	2027.42/88750	Governing the 21st Century University: A View from the Bridge (2.0) 	Duderstadt, James J. 	Association for the Study of Higher Education 	2011-12-23T16:48:05Z 	1
2006/04-2015/10	2027.42/88752	Governing the 21st Century University: A View from the Bridge (2.1) 	Duderstadt, James J. 		2011-12-23T16:48:07Z 	1
