IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,RELATIVE_PATH,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0724,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1989-1990 Presentations - State Support",,"Duderstadt, James J.",,1989-05-24 00:00:00,2015,1989-05-24 00:00:00,State Support | jjd549.pdf | jjd549_bhl-0a956ca4.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1989-1990 Presentations\State Support | \9811_0001\data\Presentations\JJDPR\jjd549.pdf | \converted_files\Presentations-JJDPR-jjd549_bhl-0a956ca4.pdf",Original version: Microsoft Powerpoint Presentation | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0725,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1989-1990 Presentations - Tuition Retreat",,"Duderstadt, James J.",,1989-12-06 00:00:00,2015,1989-12-06 00:00:00,Tuition Retreat | jjd550.pdf | jjd550_bhl-e2dcf9ae.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1989-1990 Presentations\Tuition Retreat | \9811_0001\data\Presentations\JJDPR\jjd550.pdf | \converted_files\Presentations-JJDPR-jjd550_bhl-e2dcf9ae.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0726,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1990-1991 Presentations - 1990s Strategic Planning",,"Duderstadt, James J.",,undated,2015,undated,1990s Strategic Planning,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1990-1991 Presentations\1990s Strategic Planning",Original version: Microsoft Powerpoint Presentation,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0727,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1990-1991 Presentations - Business Plan-1990s",,"Duderstadt, James J.",,1990-02-17 00:00:00,2015,1990-02-17 00:00:00,Business Plan-1990s | jjd551.pdf | jjd551_bhl-3fbdd4c8.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1990-1991 Presentations\Business Plan-1990s | \9811_0001\data\Presentations\JJDPR\jjd551.pdf | \converted_files\Presentations-JJDPR-jjd551_bhl-3fbdd4c8.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0728,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1990-1991 Presentations - Campaign Briefing-1990",,"Duderstadt, James J.",,1990-04-06 00:00:00,2015,1990-04-06 00:00:00,Campaign Briefing-1990 | jjd552.pdf | jjd552_bhl-d8067eee.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1990-1991 Presentations\Campaign Briefing-1990 | \9811_0001\data\Presentations\JJDPR\jjd552.pdf | \converted_files\Presentations-JJDPR-jjd552_bhl-d8067eee.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0729,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1990-1991 Presentations - Campaign-Color",,"Duderstadt, James J.",,1990-04-11 00:00:00,2015,1990-04-11 00:00:00,Campaign-Color | jjd553.pdf | jjd553_bhl-ac5186d4.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1990-1991 Presentations\Campaign-Color | \9811_0001\data\Presentations\JJDPR\jjd553.pdf | \converted_files\Presentations-JJDPR-jjd553_bhl-ac5186d4.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0730,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1990-1991 Presentations - Campaign-Color-update",,"Duderstadt, James J.",,1990-04-18 00:00:00,2015,1990-04-18 00:00:00,Campaign-Color-update | jjd554.pdf | jjd554_bhl-96060ad4.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1990-1991 Presentations\Campaign-Color-update | \9811_0001\data\Presentations\JJDPR\jjd554.pdf | \converted_files\Presentations-JJDPR-jjd554_bhl-96060ad4.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0731,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1990-1991 Presentations - Economics Dinner Group",,"Duderstadt, James J.",,1990-04-06 00:00:00,2015,1990-04-06 00:00:00,Economics Dinner Group | jjd555.pdf | jjd555_bhl-241ea278.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1990-1991 Presentations\Economics Dinner Group | \9811_0001\data\Presentations\JJDPR\jjd555.pdf | \converted_files\Presentations-JJDPR-jjd555_bhl-241ea278.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0732,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1990-1991 Presentations - Eye on the Ball",,"Duderstadt, James J.",,1990-03-12 00:00:00,2015,1990-03-12 00:00:00,Eye on the Ball | jjd556.pdf | jjd556_bhl-dab06177.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1990-1991 Presentations\Eye on the Ball | \9811_0001\data\Presentations\JJDPR\jjd556.pdf | \converted_files\Presentations-JJDPR-jjd556_bhl-dab06177.pdf",Original version: Microsoft Powerpoint Presentation | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0733,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1990-1991 Presentations - Eye on the Ball-ll",,"Duderstadt, James J.",,undated,2015,undated,Eye on the Ball-ll,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1990-1991 Presentations\Eye on the Ball-ll",Original version: Microsoft Powerpoint Presentation,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
