Name,Description,Image,URL
"Stockton, T. B. W.","T. B. W. Stockton, from Mrs. M. A. Osborn photograph album",http://bentley.umich.edu/legacy-support/civilwar/images/stockton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=359
"Stockwell, Cyrus M.","Cyrus M. Stockwell, from Cyrus M. Stockwell photograph collection",http://bentley.umich.edu/legacy-support/civilwar/images/stockwell.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=349
"Stoddard, Byron","Harrison Soule, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/soule.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=347
"Thomas, Stephen Van Rennslaer","Stephen V. Thomas, from L.S. Trowbridge, Brief History of the Tenth Michigan Cavalry. Detroit, 1905",http://bentley.umich.edu/legacy-support/civilwar/images/thomass.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=369
"Thomas, George H.","John Gibson Parkhurst, from Charles W. Bennett, Historical Sketches of the Ninth Michigan Infantry. Coldwater, Mich., 1913.",http://bentley.umich.edu/legacy-support/civilwar/images/parkhurs.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=279
"Thompson, Martha","Milton and Martha Thompson, from Milton Thompson papers",http://bentley.umich.edu/legacy-support/civilwar/images/thompson.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=371
"Thompson, Milton","Milton and Martha Thompson, from Milton Thompson papers",http://bentley.umich.edu/legacy-support/civilwar/images/thompson.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=371
"Tower, Angelo Emery","Angelo E. Tower, from J.H. Kidd, Personal Recollections of a Cavalryman.  Ionia, Mich., 1908",http://bentley.umich.edu/legacy-support/civilwar/images/tower.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=375
"Trego, David R.","Left to right: Unidentified soldier, David R. Trego, Henry C. Hendershot, from David R. Trego papers",http://bentley.umich.edu/legacy-support/civilwar/images/trego.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=379
"Trowbridge, L. S.","L. S. Trowbridge, from his  Brief History of the Tenth Michigan Cavalry. Detroit, 1905.",http://bentley.umich.edu/legacy-support/civilwar/images/trowbrid.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=382
"Wilkinson, William H.","John Gibson Parkhurst, from Charles W. Bennett, Historical Sketches of the Ninth Michigan Infantry. Coldwater, Mich., 1913.",http://bentley.umich.edu/legacy-support/civilwar/images/parkhurs.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=279
"Willcox, Orlando B.","William M. Fenton, from the family papers",http://bentley.umich.edu/legacy-support/civilwar/images/fenton.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=240
"Winchell, Alexander","Alexander Winchell, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/winchell.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=494
"Withington, William Herbert","Orlando B. Willcox, from Byron M. Cutcheon, Story of the Twentieth Michigan Infantry. Lansing, Mich.: Robert Smith Print. Co., 1904.",http://bentley.umich.edu/legacy-support/civilwar/images/willcox.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=439
"Woodruff, Charles","Charles Woodruff, from his papers",http://bentley.umich.edu/legacy-support/civilwar/images/woodruff.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=443
"Yates, John B.","John B. Yates, from Charles R. Sligh, History of the Services of the First Regiment Michigan Engineers and Mechanics. Grand Rapids, 1921",http://bentley.umich.edu/legacy-support/civilwar/images/yates.jpg,http://bentley.umich.edu/legacy-support/civilwar/civilwar_search.php?id=448
