IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,RELATIVE_PATH,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0821,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Accomplishments",,"Duderstadt, James J.",,10/30/1995 0:00,2015,10/30/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Accomplishments | \9811_0001\data\Strategy\JJDST1\jjd1624.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0822,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Admin Restruc",,"Duderstadt, James J.",,4/2/1995 0:00,2015,4/2/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Admin Restruc | \9811_0001\data\Strategy\JJDST1\jjd1627.ppt",Original version: Microsoft Powerpoint Presentation | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0823,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - EO Kickoff",,"Duderstadt, James J.",,9/4/1995 0:00,2015,9/4/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\EO Kickoff | \9811_0001\data\Strategy\JJDST1\jjd1628.ppt",Original version: Microsoft Powerpoint Presentation | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0824,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Free Press Op-Ed",,"Duderstadt, James J.",,11/18/1995 0:00,2015,11/18/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Free Press Op-Ed | \9811_0001\data\Speeches\JJDS9a\jjd1447.pdf",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0825,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Mission Statement 1.2",,"Duderstadt, James J.",,2/3/1995 0:00,2015,2/3/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Mission Statement 1.2 | \9811_0001\data\Strategy\JJDST1\jjd1630.doc",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0826,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Mission Statement 1.4",,"Duderstadt, James J.",,2/3/1995 0:00,2015,2/3/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Mission Statement 1.4 | \9811_0001\data\Strategy\JJDST1\jjd1631.ppt",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0827,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Plan Exec Sum 1.5",,"Duderstadt, James J.",,8/12/1995 0:00,2015,8/12/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Plan Exec Sum 1.5 | \9811_0001\data\Strategy\JJDST1\jjd1632.doc",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0828,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Possible Actions",,"Duderstadt, James J.",,11/24/1995 0:00,2015,11/24/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Possible Actions | \9811_0001\data\Strategy\JJDST1\jjd1633.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0829,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Production Schedule",,"Duderstadt, James J.",,11/17/1995 0:00,2015,11/17/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Production Schedule | \9811_0001\data\Strategy\JJDST1\jjd1634.doc",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0830,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Regent Agenda",,"Duderstadt, James J.",,8/23/1995 0:00,2015,8/23/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Regent Agenda | \9811_0001\data\Strategy\JJDST1\jjd1635.doc",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0831,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Regents Tuition Letter",,"Duderstadt, James J.",,7/16/1995 0:00,2015,7/16/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Regents Tuition Letter | \9811_0001\data\Strategy\JJDST1\jjd1636.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0833,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Sports 3.0",,"Duderstadt, James J.",,11/7/1995 0:00,2015,11/7/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Sports 3.0 | \9811_0001\data\Strategy\JJDST1\jjd1638.doc",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0834,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - State of Univ 1995",,"Duderstadt, James J.",,9/6/1995 0:00,2015,9/6/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\State of Univ 1995 | \9811_0001\data\Strategy\JJDST1\jjd1639.doc",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0835,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Strategic Evolution-Addins",,"Duderstadt, James J.",,9/3/1995 0:00,2015,9/3/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Strategic Evolution-Addins | \9811_0001\data\Strategy\JJDST1\jjd1640.ppt",Original version: Microsoft Powerpoint Presentation | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0836,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Strategic Initiatives and_",,"Duderstadt, James J.",,2/9/1995 0:00,2015,2/9/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Strategic Initiatives and_ | \9811_0001\data\Strategy\JJDST1\jjd1641.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0837,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Strategic Lists",,"Duderstadt, James J.",,11/24/1995 0:00,2015,11/24/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Strategic Lists | \9811_0001\data\Strategy\JJDST1\jjd1642.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0838,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Strategic Plan 1.5",,"Duderstadt, James J.",,2/3/1995 0:00,2015,2/3/1995 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1995-1996 Strategy\Strategic Plan 1.5 | \9811_0001\data\Strategy\JJDST1\jjd1643.doc",Original version: Microsoft Word Document | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
