alumID,type,addressID
973,home,581
973,business,581
908,birth,582
2284,birth,583
321,business,584
321,home,584
1552,birth,585
1554,birth,586
1658,home,587
1658,business,587
2366,birth,588
2775,birth,589
1829,birth,590
2457,birth,591
1685,birth,592
1598,birth,593
2665,birth,594
2665,home,594
1124,birth,595
2507,birth,595
597,birth,596
1425,birth,597
738,home,598
738,business,598
1503,birth,599
2494,birth,600
2494,home,600
345,birth,601
2663,birth,602
3035,birth,603
1452,home,604
1452,business,604
2242,business,604
779,birth,605
125,birth,605
679,birth,605
807,birth,605
921,birth,605
1091,birth,605
1768,birth,605
1688,birth,605
1845,birth,605
413,home,605
779,home,605
1688,home,605
1845,home,605
2865,home,605
413,business,605
704,business,605
779,business,605
1845,business,605
262,birth,606
2726,birth,606
1105,birth,607
2086,birth,607
2782,birth,607
278,home,607
2086,home,607
2696,home,607
2782,home,607
278,business,607
3041,birth,608
300,birth,609
300,home,609
2526,business,610
268,birth,611
2547,birth,611
2198,home,611
2547,home,611
608,birth,612
326,birth,613
1107,birth,613
1674,business,614
1002,birth,615
730,birth,616
1577,birth,616
2422,birth,616
735,home,616
2422,home,616
2044,home,617
821,home,617
248,home,618
248,business,618
155,birth,619
279,birth,619
909,birth,619
1144,birth,619
1704,birth,619
2254,birth,619
2296,birth,619
2296,home,619
2296,business,619
2449,birth,620
2014,birth,621
1963,home,622
1963,business,622
721,birth,623
1771,home,624
1771,business,624
756,birth,625
1257,birth,625
1572,birth,626
690,birth,627
2932,home,628
2932,business,628
1562,business,629
952,birth,630
891,birth,631
980,birth,631
891,home,631
980,home,631
2755,home,632
464,birth,633
1864,birth,634
463,business,635
1475,birth,636
339,home,636
395,home,636
339,business,636
1776,business,636
635,birth,637
858,birth,637
2735,birth,637
690,home,638
1253,home,639
1253,business,639
1209,home,640
1715,home,640
1209,business,640
1944,birth,641
79,business,642
674,birth,643
1288,birth,644
1288,home,644
1914,birth,645
2755,birth,646
1536,birth,647
1164,business,648
1441,birth,649
2374,birth,650
1565,birth,651
2088,birth,651
2089,birth,651
2096,birth,651
1536,home,651
1565,home,651
1578,home,651
2088,home,651
2089,home,651
2444,home,651
1578,business,651
2887,birth,652
1011,birth,653
2903,birth,653
1288,business,653
441,home,654
2056,home,654
2416,home,654
441,business,654
446,home,655
446,business,655
911,business,656
911,home,656
2892,birth,657
911,birth,658
2459,birth,659
2503,birth,660
1035,birth,661
2929,birth,661
1035,home,661
2929,home,661
1035,business,661
2929,business,661
2892,business,662
522,home,663
522,business,663
741,birth,664
1530,birth,664
1636,birth,664
2125,birth,664
2386,birth,664
2765,birth,664
554,home,664
2503,home,664
2765,home,664
554,business,664
2131,business,664
2503,business,664
2765,business,664
2888,birth,665
2892,home,665
2719,birth,666
2888,home,666
3005,birth,667
211,birth,668
482,birth,668
2460,birth,668
211,business,668
602,home,669
602,business,669
349,birth,670
286,birth,671
522,birth,672
2188,birth,673
112,business,674
1702,birth,675
2667,home,676
2713,birth,677
2814,birth,677
3034,business,677
1485,birth,678
1869,birth,679
1665,home,680
1665,business,680
1909,birth,681
180,business,682
438,home,683
438,business,683
2682,home,684
2682,business,684
2305,business,685
248,birth,686
114,birth,687
897,birth,687
1126,birth,687
1430,birth,687
2305,birth,687
2395,birth,687
2687,birth,687
3028,birth,687
894,home,687
1527,home,687
3010,home,687
569,business,687
750,business,687
888,business,687
894,business,687
1088,business,687
1440,business,687
1545,business,687
1929,business,687
2405,business,687
3010,business,687
2130,home,688
2130,business,688
1796,birth,689
3042,birth,689
1440,home,690
405,home,691
1577,home,691
2643,home,691
405,business,691
2643,business,691
1293,home,692
1315,business,693
1115,home,694
1115,business,694
2117,birth,695
1313,birth,696
2589,business,697
2401,birth,698
992,birth,699
489,birth,700
1724,birth,700
515,home,700
515,business,700
44,business,701
1645,home,702
1789,birth,703
2757,birth,703
467,birth,704
308,birth,705
1698,home,705
1698,business,705
739,birth,706
739,home,707
739,business,707
1315,birth,708
1389,birth,708
1139,home,708
642,birth,709
1313,home,709
1089,birth,710
512,birth,711
2864,birth,711
438,birth,712
440,birth,712
754,birth,712
1933,home,713
292,birth,714
750,home,715
640,birth,716
640,home,716
992,home,716
640,business,716
992,business,716
405,birth,717
1395,birth,717
2548,birth,717
1485,home,717
699,home,718
699,business,718
1545,home,719
2920,home,720
2961,birth,721
204,home,721
228,home,721
2177,home,721
204,business,721
228,business,721
1909,business,721
2612,birth,722
95,birth,721
579,birth,723
2034,home,724
2600,birth,725
2600,home,725
1115,birth,726
1166,birth,727
902,birth,728
2935,business,729
2572,birth,730
2572,home,730
1241,home,729
2548,home,729
95,business,729
1241,business,729
2485,business,729
2548,business,729
156,birth,731
1293,birth,731
2990,birth,731
467,home,731
2990,home,731
467,business,731
642,business,731
1591,birth,732
2682,birth,733
2305,home,734
407,home,735
407,business,735
442,home,736
462,home,736
465,home,736
1126,home,736
442,business,736
462,business,736
465,business,736
1025,business,736
1126,business,736
2188,business,736
1849,birth,737
1838,home,738
1702,business,738
1791,birth,739
2380,home,740
1710,birth,741
2151,birth,741
2773,home,741
2176,business,741
2773,business,741
453,birth,742
2393,birth,742
2774,birth,743
962,home,743
1016,home,743
1228,home,743
1780,home,743
1852,home,743
2313,home,743
2731,home,743
1041,business,743
1228,business,743
1852,business,743
1973,business,743
2717,business,743
1128,birth,744
1594,birth,745
366,birth,746
2833,home,747
277,business,747
1103,birth,748
1103,home,748
2401,home,748
37,business,748
2401,business,748
2160,business,749
1272,birth,750
2791,birth,751
447,birth,752
448,birth,752
1581,birth,753
3009,birth,754
1321,birth,755
2545,birth,756
1841,birth,757
2920,birth,758
1253,birth,759
319,home,760
319,business,760
1293,business,761
3016,birth,762
1371,birth,763
2277,home,764
422,home,765
422,business,765
7,birth,765
1173,birth,766
2778,home,766
1012,birth,767
1145,birth,767
2004,birth,767
1363,birth,768
465,birth,768
527,birth,768
575,birth,768
